Район,Адрес,Площадь (м²),Тип,Цена (руб.),Цена за м² (руб.),Комнат,Этаж,ЖК/Комплекс,Источник,Дата сбора,Примечание
,ул. 50 лет Октября 47,30.6,Вторичка,4350000,142157,1,5/5,,Яндекс.Недвижимость,2026-07-04,
,ул. Елизарова 8,36.7,Вторичка,4300000,117166,1,1/11,,Яндекс.Недвижимость,2026-07-04,
,ул. Беляева 33к2,27.4,Новостройка,4300000,156934,студия,14/16,мкр. Звёздный,Яндекс.Недвижимость,2026-07-04,
Тура-2,ул. Тамары Сатюковой 18,41,Новостройка,4250000,103659,1,8/16,ЖК Тура-2,Яндекс.Недвижимость,2026-07-04,
,Одесская ул. 51,31,Вторичка,3700000,119355,1,2/3,,Яндекс.Недвижимость,2026-07-04,
,ул. Юрия Рогачева 9к1,25,Новостройка,3913589,156544,студия,5/17,ЖК Чаркова 72,Яндекс.Недвижимость,2026-07-04,
Горьковка (пригород),с. Горьковка,36.3,Новостройка,3965600,109245,1,4/4,ЖК Крылья,Яндекс.Недвижимость,2026-07-04,
,ул. Василия Шамова 4,31.4,Новостройка,4400000,140127,студия,3/4,ЖК Концепт.Озерный,Яндекс.Недвижимость,2026-07-04,
Дударева (пригород),ул. Сергея Джанбровского 25к1,28.2,Новостройка,4300000,152482,студия,2/17,ЖК Хито,Яндекс.Недвижимость,2026-07-04,
,Западносибирская ул. 2,27.9,Вторичка,4000000,143369,студия,15/16,,Яндекс.Недвижимость,2026-07-04,
,ул. Щорса 1А,30,Вторичка,3800000,126667,1,8/8,,Яндекс.Недвижимость,2026-07-04,
,ул. Андрея Бушуева 2,34.2,Новостройка,4101000,119912,1,1,ЖК Клевер парк,Яндекс.Недвижимость,2026-07-04,
,Станционная ул. 14А,15,Вторичка,2200000,146667,студия,8/8,,Яндекс.Недвижимость,2026-07-04,
,ул. Мельникайте 97,30,Вторичка,3650000,121667,1,2/5,,Яндекс.Недвижимость,2026-07-04,
,ул. Республики 158,42,Вторичка,3660000,87143,2,4/5,,Яндекс.Недвижимость,2026-07-04,
,Верхнетарманская ул. 5,21.5,Вторичка,3600000,167442,студия,14/16,,Яндекс.Недвижимость,2026-07-04,
,Верхнетарманская ул. 1,21.9,Вторичка,3290000,150228,студия,2/16,,Яндекс.Недвижимость,2026-07-04,
,ул. Парфёнова 32,46.6,Вторичка,4400000,94421,2,4/5,,Яндекс.Недвижимость,2026-07-04,
,ул. Константина Посьета 16,26.5,Новостройка,4400000,166038,студия,8/18,ЖК Квартал 1964,Яндекс.Недвижимость,2026-07-04,
,ул. Декабристов 154,30.8,Вторичка,3600000,116883,1,4/4,,Яндекс.Недвижимость,2026-07-04,
,ул. Юрия Рогачева 9к1,24.2,Новостройка,2819028,116489,студия,14/17,ЖК Чаркова 72,Яндекс.Недвижимость,2026-07-04,
,ул. Сергея Свиридова 9к2,29.7,Новостройка,4250000,143098,студия,2/4,ЖК Концепт.Озерный,Яндекс.Недвижимость,2026-07-04,
,Амурская ул. 68,46.3,Вторичка,3800000,82073,2,4/5,,Яндекс.Недвижимость,2026-07-04,
Мелиораторов,ул. Голышева 24А,31.7,Новостройка,3999000,126151,1,6/9,ЖК Первый ключ,Яндекс.Недвижимость,2026-07-04,
,ул. Муравленко 15А,29.5,Вторичка,3390000,114915,1,4/8,,Яндекс.Недвижимость,2026-07-04,
,Широтная ул. 104к3,40,Вторичка,4350000,108750,1,7/9,,Яндекс.Недвижимость,2026-07-04,
,ул. Василия Шамова 6,25.9,Новостройка,4100000,158301,студия,4/4,ЖК Скандиа. Квартал у Озера,Яндекс.Недвижимость,2026-07-04,
Дударева (пригород),ул. Сергея Джанбровского 27к2,23.4,Новостройка,3763000,160812,студия,14/14,ЖК Гринвуд,Яндекс.Недвижимость,2026-07-04,
,,26,Новостройка,3188000,122615,студия,12/17,ЖК Сибирский,Яндекс.Недвижимость,2026-07-04,
,ул. Республики 248,32.6,Вторичка,2500000,76687,2,2/9,,Яндекс.Недвижимость,2026-07-04,
,ул. Энергетиков 30А,16.5,Вторичка,2549000,154485,студия,5/5,,Яндекс.Недвижимость,2026-07-04,
,Интернациональная ул. 197Г,24.3,Новостройка,3800000,156379,студия,3/15,ЖК Облака,Яндекс.Недвижимость,2026-07-04,
,,22.9,Новостройка,3750000,163755,студия,7/14,ЖК Концепт,Яндекс.Недвижимость,2026-07-04,
,ул. Судостроителей 38,40.5,Вторичка,3400000,83951,2,2/8,,Яндекс.Недвижимость,2026-07-04,
,,25.7,Новостройка,3140000,122179,студия,9/17,ЖК Сибирский,Яндекс.Недвижимость,2026-07-04,
,Московский Тракт ул. 102,33.5,Вторичка,3500000,104478,1,2/9,,Яндекс.Недвижимость,2026-07-04,
Московский (пригород),п. Московский,27.9,Новостройка,3990000,143011,студия,3/8,ЖК Листопад,Яндекс.Недвижимость,2026-07-04,
,ул. Республики 176,30,Вторичка,3400000,113333,1,4/5,,Яндекс.Недвижимость,2026-07-04,
,ул. Новаторов 30,18.9,Новостройка,3302250,174722,студия,7/14,ЖК Новатор,Яндекс.Недвижимость,2026-07-04,
,ул. Воровского 25,31,Вторичка,3450000,111290,1,4/5,,Яндекс.Недвижимость,2026-07-04,
,Заполярная ул. 9/2,21.3,Новостройка,3440800,161540,студия,4/21,ЖК Меридиан Слобода,Яндекс.Недвижимость,2026-07-04,
,ул. 50 лет ВЛКСМ 91,44.3,Вторичка,3750000,84650,2,5/5,,Яндекс.Недвижимость,2026-07-04,
Винзили (пригород),п. Винзили,37.8,Новостройка,3900000,103175,1,1/4,ЖК Сосновый,Яндекс.Недвижимость,2026-07-04,
,Карская ул. 21,37.9,Вторичка,4450000,117414,2,1/5,,Яндекс.Недвижимость,2026-07-04,
,ул. Первооткрывателей 9,22.1,Новостройка,4830000,218552,студия,14/14,ЖК Мотивы,Яндекс.Недвижимость,2026-07-04,
,ул. Евгения Войнова 3,26.2,Новостройка,4700000,179389,студия,7/25,ЖК КОСМО,Яндекс.Недвижимость,2026-07-04,
,Сосьвинская ул. 33к1,34.3,Новостройка,5100000,148688,1,8/16,ЖК СВОЙ,Яндекс.Недвижимость,2026-07-04,
,ул. Станислава Карначевича 1к1,42,Вторичка,4900000,116667,1,6/12,,Яндекс.Недвижимость,2026-07-04,
Горьковка (пригород),с. Горьковка,38.1,Новостройка,4234400,111139,2,1/4,ЖК Крылья,Яндекс.Недвижимость,2026-07-04,
,ЖК Окинава,25.4,Новостройка,5530000,217717,студия,12/23,ЖК Окинава,Яндекс.Недвижимость,2026-07-04,
,ул. Пермякова 69,42,Вторичка,5900000,140476,1,5/14,,Яндекс.Недвижимость,2026-07-04,
,ул. Павла Никольского 10к1,42.4,Новостройка,6350000,149764,1,9/10,ЖК Акватория,Яндекс.Недвижимость,2026-07-04,
,,33.8,Новостройка,5615200,166130,1,4/24,Жилой квартал ФОРСО,Яндекс.Недвижимость,2026-07-04,
,ул. Свердлова 12,50,Вторичка,6650000,133000,2,7/9,,Яндекс.Недвижимость,2026-07-04,
,ул. Республики 205к3,36.2,Новостройка,6420000,177348,1,13/25,Жилой район Республики 205,Яндекс.Недвижимость,2026-07-04,
,ул. Пржевальского 35к2,59.1,Вторичка,6300000,106599,2,8/10,,Яндекс.Недвижимость,2026-07-04,
,Алматинская ул. 6,40,Новостройка,6500000,162500,1,2/19,мкр. Звёздный,Яндекс.Недвижимость,2026-07-04,
,,25.2,Новостройка,6890000,273413,студия,8/16,Кварталы На Минской,Яндекс.Недвижимость,2026-07-04,
,Карская ул. 13,42,Вторичка,6240000,148571,3,4/5,,Яндекс.Недвижимость,2026-07-04,
,ЖК Окинава,37.9,Новостройка,6990000,184433,1,5/23,ЖК Окинава,Яндекс.Недвижимость,2026-07-04,
,ЖК Окинава,37.9,Новостройка,7040000,185752,1,8/23,ЖК Окинава,Яндекс.Недвижимость,2026-07-04,
,ул. Немцова 50,53,Вторичка,7000000,132075,2,5/9,,Яндекс.Недвижимость,2026-07-04,
,,40.5,Новостройка,9290000,229383,2,8/10,Жилой район Речной Порт,Яндекс.Недвижимость,2026-07-04,
,ул. Николая Машарова 6,43.5,Новостройка,8892000,204414,1,3/23,Квартал Машаров,Яндекс.Недвижимость,2026-07-04,со скидкой
,Полевая ул. 117к13,83.8,Новостройка,8376000,99952,3,12/24,ЖК Fatera,Яндекс.Недвижимость,2026-07-04,
,ул. Андрея Приказнова 7,39.9,Новостройка,7420000,185965,1,14/14,ЖК Мотивы,Яндекс.Недвижимость,2026-07-04,
,ул. Разведчика Кузнецова 9,36.3,Новостройка,8770000,241598,1,7/9,ЖК Дивный квартал у озера,Яндекс.Недвижимость,2026-07-04,
,ул. Николая Ростовцева 24,47.4,Новостройка,7650000,161392,1,1/10,мкр. Видный,Яндекс.Недвижимость,2026-07-04,
,ул. Муравленко 9к3,43.2,Новостройка,8950000,207176,2,2/8,Европейский квартал (Дом у озера),Яндекс.Недвижимость,2026-07-04,
,ул. Демьяна Бедного 92,74,Вторичка,7999000,108095,2,11/16,,Яндекс.Недвижимость,2026-07-04,
Заречный,ЖК Окинава,61,Новостройка,9970000,163443,2,10/23,ЖК Окинава,Яндекс.Недвижимость,2026-07-04,
,ул. Андрея Приказнова 1,80,Новостройка,10970000,137125,3,12/14,ЖК Мотивы,Яндекс.Недвижимость,2026-07-04,
Чемпионский мкр.,ул. Виктора Тимофеева 3,72.1,Новостройка,10382000,143994,2,20/24,мкр. Чемпионский,Яндекс.Недвижимость,2026-07-04,
,,71.1,Новостройка,11370000,159916,3,4/10,Жилой район Речной порт,Яндекс.Недвижимость,2026-07-04,
,ул. Щербакова 2к5,40.2,Новостройка,11716960,291467,1,2/7,ЖК Вознесенский,Яндекс.Недвижимость,2026-07-04,
,Береговая ул. 100к2,57.2,Новостройка,9970000,174301,3,5/24,ЖК Европейский берег 2.0,Яндекс.Недвижимость,2026-07-04,
,ул. 50 лет Октября 57В,79.6,Новостройка,14890000,187060,2,4/17,Квартал Новин,Яндекс.Недвижимость,2026-07-04,2018г.
,ул. Николая Зелинского 23/1,57.2,Вторичка,12255000,214248,2,9,,Яндекс.Недвижимость,2026-07-04,
Видный мкр.,ул. Михаила Сперанского 41к1,82.2,Новостройка,18000000,218978,3,1,мкр. Видный,Яндекс.Недвижимость,2026-07-04,
,ул. Евгения Войнова 3,81.6,Новостройка,15866900,194447,3,14/25,ЖК КОСМО,Яндекс.Недвижимость,2026-07-04,
Центр,Орловская ул. 58,127,Новостройка,29900000,235433,3,3/24,,Яндекс.Недвижимость,2026-07-04,2018г.
,ул. Циолковского 1,91.3,Новостройка,18090000,198138,3,18/23,Дом Темплин,Яндекс.Недвижимость,2026-07-04,сдача 2кв.2028
Центр,ул. Достоевского 7,128,Вторичка,31500000,246094,3,2/9,,Яндекс.Недвижимость,2026-07-04,
,ул. 50 лет Октября 57Бк1,110,Новостройка,40000000,363636,4,16/17,Квартал Новин,Яндекс.Недвижимость,2026-07-04,
,ул. Тимофея Чаркова 93,128.6,Новостройка,19250000,149689,3,2/31,ЖК Звёздный,Яндекс.Недвижимость,2026-07-04,
,ул. Николая Фёдорова 9,114.7,Вторичка,25000000,217960,3,3/9,ЖК Green House,Яндекс.Недвижимость,2026-07-04,
,ул. 50 лет Октября 63к2,110.7,Новостройка,19620000,177236,3,12/25,ЖК Сердце Сибири,Яндекс.Недвижимость,2026-07-04,
,ул. Пржевальского 35,256.1,Вторичка,22300000,87075,5,5/6,,Яндекс.Недвижимость,2026-07-04,
,ул. Республики 204к12,95.9,Новостройка,18221000,190000,3,8/16,Дом на Большой Спасской,Яндекс.Недвижимость,2026-07-04,
,Мельничная ул. 26к1,180,Новостройка,120000000,666667,4,7/8,Life Plaza,Яндекс.Недвижимость,2026-07-04,элитное жильё
,ул. Муравленко 9к1,170.7,Новостройка,21410000,125425,4,1/9,ЖК Европейский квартал,Яндекс.Недвижимость,2026-07-04,
,Причальная ул. 11,53,Новостройка,19000000,358491,1,5/11,ЖК Речной порт,Яндекс.Недвижимость,2026-07-04,
Дербыши (пригород),д. Дербыши,90.5,Новостройка,13109103,144852,3,11/15,ЖК Дабл-Дабл,Яндекс.Недвижимость,2026-07-04,скидка 16%; сдача 3кв.2028
,,62.8,Новостройка,8780000,139809,2,8/10,ЖК Мотивы,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,пр. Капитана Куликова 7,113,Новостройка,13669841,120972,3,12/16,ЖК Мириады,Яндекс.Недвижимость,2026-07-04,скидка 10%; сдача 4кв.2025
,ул. Пожарных и Спасателей 2,68.2,Новостройка,9408557,137955,2,3/24,ЖК Айвазовский,Яндекс.Недвижимость,2026-07-04,скидка 15%; сдача 3кв.2026
Дербыши (пригород),д. Дербыши,48.8,Новостройка,7990224,163734,1,7/15,ЖК Дабл-Дабл,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2028
,ул. Республики 205к3,79.2,Новостройка,10590000,133712,3,17/25,Жилой район Республики 205,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2027
,ЖК Окинава,41.6,Новостройка,7450000,179087,1,8/23,ЖК Окинава,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2029
,ЖК Окинава,60.4,Новостройка,10000000,165563,2,10/23,ЖК Окинава,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2029
,ЖК Окинава,22.8,Новостройка,5270000,231140,студия,9/23,ЖК Окинава,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2029
,ул. Евгения Войнова 3,54.1,Новостройка,8628800,159497,3,10/25,ЖК КОСМО,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2026
,ул. Щербакова 2к6,64.1,Новостройка,15249910,237908,2,3/8,ЖК Вознесенский,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,ул. Андрея Приказнова 1,61.1,Новостройка,9410000,154010,2,14/14,ЖК Мотивы,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
,Арктическая ул. 6,75,Новостройка,10461600,139488,3,3/21,Жилой район Прео,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2026
,ул. Ивана Чистякова 3,76.7,Новостройка,13985000,182334,3,7/17,ЖК Дивный квартал у озера,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2025
,ул. Муравленко 9к3,97.6,Новостройка,16050000,164447,2,4/8,Европейский квартал (Дом у озера),Яндекс.Недвижимость,2026-07-04,сдача 2кв.2027
,ЖК Окинава,88.2,Новостройка,12420000,140816,3,7/23,ЖК Окинава,Яндекс.Недвижимость,2026-07-04,сдача 1кв.2029
,ул. 50 лет Октября 61к1,41,Новостройка,7502000,182976,2,9/25,ЖК Сердце Сибири,Яндекс.Недвижимость,2026-07-04,сдача 4кв.2027
,Кремлёвская ул. 97,69.5,Новостройка,11070000,159281,2,4/8,ЖК Дружеский,Яндекс.Недвижимость,2026-07-04,сдача 3кв.2026
